t_granted,feeder,iter,state,vupdate,source_v_pu,source_ang_deg,dist_bus,vavg_pu,va_pu,vb_pu,vc_pu,vpos_pu,alert_signal,alert_bus,alert_v_pu,alert_vpos_pu,alert_vavg_pu,fidvr_stage,tx_v_pu,motor_p_scale,motor_q_scale,caps_status,caps_on,cap_fraction,tap_pu,restore_frac,thermal_restore_frac,motor_slip_avg,motor_slip_max,motor_pf_avg,motor_running_groups,motor_stalled_groups,motor_tripped_groups,motor_restoring_groups,motor_contactor_open_groups,motor_thermal_trip_groups,motor_locked_out_groups,dynamics_enabled,tap_reg1,tap_reg2,tap_reg3,cap1_state,cap1_enabled,cap2_state,cap2_enabled,fidvr_stage_effective
0.033,1,21,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.036,1,23,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.039,1,25,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.042,1,27,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.045,1,29,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.048,1,31,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.051,1,33,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.054,1,35,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.057,1,37,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.06,1,39,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.063,1,41,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.066,1,43,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.069,1,45,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.072,1,47,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.075,1,49,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.078,1,51,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.081,1,53,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.084,1,55,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.087,1,57,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.09,1,59,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.093,1,61,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.096,1,63,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.099,1,65,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.102,1,67,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.105,1,69,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.108,1,71,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.111,1,73,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.114,1,75,NEXT_STEP,False,1.00867,-10.163598,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.117,1,77,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.12,1,79,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.123,1,81,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.126,1,83,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.129,1,85,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.132,1,87,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.135,1,89,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.138,1,91,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.141,1,93,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.144,1,95,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.147,1,97,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.15,1,99,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.153,1,101,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.156,1,103,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.159,1,105,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.162,1,107,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.165,1,109,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.168,1,111,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.171,1,113,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.174,1,115,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.177,1,117,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.18,1,119,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.183,1,121,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.186,1,123,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.189,1,125,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.192,1,127,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.195,1,129,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.198,1,131,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.201,1,133,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.204,1,134,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.207,1,136,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.21,1,138,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.213,1,139,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.216,1,141,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.219,1,142,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.222,1,144,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.225,1,146,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.228,1,148,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.231,1,149,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.234,1,151,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.237,1,152,NEXT_STEP,False,1.00867,-10.163599,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
